txn_id,account_id,timestamp,amount,currency,channel,mcc,merchant,country,state,description,label_fraud
T001613,A100267,2024-01-01T02:06:00,2.52,USD,ATM,5921,CAFEBEAN,US,BC,CAFEBEAN BC ATM *REF 58836,0
T001569,A100215,2024-01-01T02:28:00,37.62,USD,ECOM,5999,CAFEBEAN,US,BC,CAFEBEAN BC ECOM *REF 93269,0
T001510,A100101,2024-01-01T03:07:00,85.43,USD,P2P,4111,GENSTORE,US,ON,GENSTORE ON P2P *REF 54442,0
T003040,A100070,2024-01-01T05:39:00,82.01,USD,ECOM,5812,ATM*WITHDRAW,US,QC,ATM*WITHDRAW QC ECOM *REF 55906,0
T004569,A100028,2024-01-01T08:45:00,25.73,USD,ECOM,6011,HOTELINN,US,TX,HOTELINN TX ECOM *REF 52938,0
T003483,A100030,2024-01-01T10:45:00,76.58,USD,ECOM,4111,ATM*WITHDRAW,US,BC,ATM*WITHDRAW BC ECOM *REF 58203,0
T002025,A100251,2024-01-01T11:17:00,42.59,USD,ECOM,4111,CAFEBEAN,CA,BC,CAFEBEAN BC ECOM *REF 97266,0
T000839,A100095,2024-01-01T12:40:00,90.84,USD,P2P,5812,LIQUORHUT,US,NJ,LIQUORHUT NJ P2P *REF 97177,0
T001720,A100067,2024-01-01T12:49:00,72.35,USD,ECOM,5411,GROCERYMART,US,QC,GROCERYMART QC ECOM *REF 25609,0
T003379,A100283,2024-01-01T12:51:00,128.42,USD,POS,7011,UBER*TRIP,US,NJ,UBER*TRIP NJ POS *REF 96246,0
T004181,A100200,2024-01-01T14:19:00,46.4,USD,POS,5732,CAFEBEAN,US,NY,CAFEBEAN NY POS *REF 76266,0
T001969,A100141,2024-01-01T15:20:00,27.87,USD,ECOM,5411,CAFEBEAN,US,BC,CAFEBEAN BC ECOM *REF 48648,0
T002896,A100130,2024-01-01T16:02:00,105.3,USD,ECOM,5732,GENSTORE,US,BC,GENSTORE BC ECOM *REF 74848,0
T000733,A100278,2024-01-01T16:05:00,88.52,USD,POS,5732,UBER*TRIP,CA,TX,UBER*TRIP TX POS *REF 98036,0
T001196,A100181,2024-01-01T16:41:00,103.42,USD,ECOM,5812,LIQUORHUT,CA,ON,LIQUORHUT ON ECOM *REF 49669,0
T004769,A100161,2024-01-01T16:52:00,85.74,USD,ECOM,5812,GROCERYMART,CA,TX,GROCERYMART TX ECOM *REF 82180,0
T004918,A100091,2024-01-01T17:56:00,15.43,USD,POS,5921,HOTELINN,US,BC,HOTELINN BC POS *REF 46878,0
T000101,A100253,2024-01-01T18:36:00,73.83,USD,ECOM,5921,SHIP*FREIGHT,US,NJ,SHIP*FREIGHT NJ ECOM *REF 90779,0
T001916,A100185,2024-01-01T21:29:00,81.59,USD,ECOM,5732,GENSTORE,US,ON,GENSTORE ON ECOM *REF 67940,0
T002891,A100149,2024-01-02T00:22:00,16.57,USD,ATM,4111,CAFEBEAN,US,NJ,CAFEBEAN NJ ATM *REF 28145,0
T004633,A100195,2024-01-02T00:39:00,80.43,USD,ECOM,5732,SHIP*FREIGHT,US,CA,SHIP*FREIGHT CA ECOM *REF 38638,0
T000830,A100065,2024-01-02T01:24:00,7.04,USD,POS,5999,UBER*TRIP,US,ON,UBER*TRIP ON POS *REF 91060,0
T003252,A100145,2024-01-02T01:28:00,12.32,USD,ATM,5812,GROCERYMART,US,CA,GROCERYMART CA ATM *REF 15321,0
