account_id,timestamp,amount,merchant,mcc,country,anomaly_score,anomaly_flag,reason_tags,risk_theme,nl_explanation
A100062,2024-02-15 15:22:00,828.86,LUXSTORE,5732,US,0.11509191547655839,1,"['high_amount', 'high_amount_vs_customer_baseline', 'large_deviation_from_avg_amount', 'age_segment_risk_signal', 'extreme_anomaly_score']",possible merchant behavior anomaly,"Transaction flagged with anomaly score 0.1151. Key indicators: Transaction amount is unusually high compared with the global distribution. Amount is significantly above this customer baseline behavior. Current transaction deviates strongly from customer average amount. Semantic risk theme: possible merchant behavior anomaly. This is a risk alert, not proof of fraud; analyst verification is recommended."
A100103,2024-05-05 09:51:00,443.58,CRYPTO*EXCHANGE,5999,CA,0.11280276467221162,1,"['high_amount', 'high_amount_vs_customer_baseline', 'large_deviation_from_avg_amount', 'age_segment_risk_signal', 'extreme_anomaly_score']",possible merchant behavior anomaly,"Transaction flagged with anomaly score 0.1128. Key indicators: Transaction amount is unusually high compared with the global distribution. Amount is significantly above this customer baseline behavior. Current transaction deviates strongly from customer average amount. Semantic risk theme: possible merchant behavior anomaly. This is a risk alert, not proof of fraud; analyst verification is recommended."
A100196,2024-04-06 19:25:00,758.15,LUXSTORE,5999,US,0.11216761913555884,1,"['high_amount', 'high_amount_vs_customer_baseline', 'large_deviation_from_avg_amount', 'extreme_anomaly_score']",possible merchant behavior anomaly,"Transaction flagged with anomaly score 0.1122. Key indicators: Transaction amount is unusually high compared with the global distribution. Amount is significantly above this customer baseline behavior. Current transaction deviates strongly from customer average amount. Semantic risk theme: possible merchant behavior anomaly. This is a risk alert, not proof of fraud; analyst verification is recommended."
A100278,2024-06-01 15:58:00,720.12,ELECTROHUB,4829,CA,0.11051367868687179,1,"['high_amount', 'high_amount_vs_customer_baseline', 'large_deviation_from_avg_amount', 'extreme_anomaly_score']",possible merchant behavior anomaly,"Transaction flagged with anomaly score 0.1105. Key indicators: Transaction amount is unusually high compared with the global distribution. Amount is significantly above this customer baseline behavior. Current transaction deviates strongly from customer average amount. Semantic risk theme: possible merchant behavior anomaly. This is a risk alert, not proof of fraud; analyst verification is recommended."
A100069,2024-05-19 12:25:00,404.04,LUXSTORE,4829,US,0.10853401968856491,1,"['high_amount', 'high_amount_vs_customer_baseline', 'large_deviation_from_avg_amount', 'age_segment_risk_signal', 'extreme_anomaly_score']",possible merchant behavior anomaly,"Transaction flagged with anomaly score 0.1085. Key indicators: Transaction amount is unusually high compared with the global distribution. Amount is significantly above this customer baseline behavior. Current transaction deviates strongly from customer average amount. Semantic risk theme: possible merchant behavior anomaly. This is a risk alert, not proof of fraud; analyst verification is recommended."
A100060,2024-03-23 12:43:00,623.56,ELECTROHUB,4829,US,0.10468933529487123,1,"['high_amount', 'high_amount_vs_customer_baseline', 'large_deviation_from_avg_amount', 'extreme_anomaly_score']",possible merchant behavior anomaly,"Transaction flagged with anomaly score 0.1047. Key indicators: Transaction amount is unusually high compared with the global distribution. Amount is significantly above this customer baseline behavior. Current transaction deviates strongly from customer average amount. Semantic risk theme: possible merchant behavior anomaly. This is a risk alert, not proof of fraud; analyst verification is recommended."
A100009,2024-02-15 14:22:00,522.33,LUXSTORE,4829,US,0.10335003437708323,1,"['high_amount', 'high_amount_vs_customer_baseline', 'large_deviation_from_avg_amount', 'age_segment_risk_signal', 'extreme_anomaly_score']",possible merchant behavior anomaly,"Transaction flagged with anomaly score 0.1034. Key indicators: Transaction amount is unusually high compared with the global distribution. Amount is significantly above this customer baseline behavior. Current transaction deviates strongly from customer average amount. Semantic risk theme: possible merchant behavior anomaly. This is a risk alert, not proof of fraud; analyst verification is recommended."
A100090,2024-04-24 10:09:00,941.03,CRYPTO*EXCHANGE,4829,US,0.10317175039485549,1,"['high_amount', 'high_amount_vs_customer_baseline', 'large_deviation_from_avg_amount', 'extreme_anomaly_score']",possible merchant behavior anomaly,"Transaction flagged with anomaly score 0.1032. Key indicators: Transaction amount is unusually high compared with the global distribution. Amount is significantly above this customer baseline behavior. Current transaction deviates strongly from customer average amount. Semantic risk theme: possible merchant behavior anomaly. This is a risk alert, not proof of fraud; analyst verification is recommended."
A100154,2024-03-07 22:24:00,325.34,CRYPTO*EXCHANGE,4829,US,0.1030371165367393,1,"['high_amount', 'high_amount_vs_customer_baseline', 'large_deviation_from_avg_amount', 'age_segment_risk_signal', 'extreme_anomaly_score']",possible merchant behavior anomaly,"Transaction flagged with anomaly score 0.1030. Key indicators: Transaction amount is unusually high compared with the global distribution. Amount is significantly above this customer baseline behavior. Current transaction deviates strongly from customer average amount. Semantic risk theme: possible merchant behavior anomaly. This is a risk alert, not proof of fraud; analyst verification is recommended."
A100281,2024-04-16 03:27:00,310.89,CRYPTO*EXCHANGE,5732,US,0.10163574184644508,1,"['high_amount', 'high_amount_vs_customer_baseline', 'large_deviation_from_avg_amount', 'new_account_low_tenure', 'age_segment_risk_signal', 'extreme_anomaly_score']",possible merchant behavior anomaly,"Transaction flagged with anomaly score 0.1016. Key indicators: Transaction amount is unusually high compared with the global distribution. Amount is significantly above this customer baseline behavior. Current transaction deviates strongly from customer average amount. Semantic risk theme: possible merchant behavior anomaly. This is a risk alert, not proof of fraud; analyst verification is recommended."
